Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Visibility_MeanRatio,Item_Type_Combined,Outlet_Years
FDG52,13.65,Low Fat,0.06563084400000001,Frozen Foods,47.7402,OUT046,1997,Small,Tier 1,Supermarket Type1,0.9974450658457256,Food,16
NCL19,15.35,Non-Edible,0.027447057,Others,142.347,OUT019,1985,Small,Tier 1,Grocery Store,0.9786008167764165,Non-Consumable,28
FDS10,19.2,Low Fat,0.035178935,Snack Foods,180.7318,OUT035,2004,Small,Tier 2,Supermarket Type1,0.8517228037132051,Food,9
FDX22,6.785,Regular,0.038455125,Snack Foods,209.4928,OUT010,1998,Small,Tier 3,Grocery Store,1.5035425799522117,Food,15
NCF19,13.0,Non-Edible,0.035102094,Household,47.6034,OUT035,2004,Small,Tier 2,Supermarket Type1,0.8805510799109028,Non-Consumable,9
NCE06,5.825,Non-Edible,0.09148523199999999,Household,161.3894,OUT046,1997,Small,Tier 1,Supermarket Type1,0.9983214231130572,Non-Consumable,16
DRC27,13.8,Low Fat,0.058102469000000004,Dairy,244.6802,OUT046,1997,Small,Tier 1,Supermarket Type1,0.8429577749817161,Drinks,16
FDE21,12.8,Low Fat,0.022940349,Fruits and Vegetables,116.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,0.8298785071284357,Food,9
NCR42,9.105,Non-Edible,0.06737681,Household,32.09,OUT019,1985,Small,Tier 1,Grocery Store,1.4491371797933332,Non-Consumable,28
FDX51,9.5,Regular,0.022148582000000003,Meat,194.9452,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.003056665574103,Food,4
NCR06,12.5,Non-Edible,0.006792706999999999,Household,42.4112,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.002340580227946,Non-Consumable,4
FDU31,10.5,Regular,0.024870035,Fruits and Vegetables,217.7508,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.8037648049166939,Food,28
FDU59,5.78,Low Fat,0.096931426,Breads,164.2552,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0027562044885998,Food,6
FDR03,15.7,Regular,0.008693632,Meat,205.09799999999998,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.4768506092973091,Food,28
FDS49,9.0,Low Fat,0.078961284,Canned,80.3644,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.8384539479171624,Food,28
FDD48,10.395,Low Fat,0.050479462999999995,Baking Goods,114.0176,OUT010,1998,Small,Tier 3,Grocery Store,1.5265599656314717,Food,15
NCF18,18.35,Non-Edible,0.08948591800000001,Household,192.1504,OUT017,2007,Small,Tier 2,Supermarket Type1,0.8732850807768265,Non-Consumable,6
NCD43,8.85,Non-Edible,0.01594238,Household,103.3964,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.6556744549641752,Non-Consumable,28
NCD54,21.1,Non-Edible,0.029127115,Household,143.3786,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.001019677157221,Non-Consumable,4
FDY19,19.75,Low Fat,0.06923642099999999,Fruits and Vegetables,116.6466,OUT010,1998,Small,Tier 3,Grocery Store,1.4748600433728403,Food,15
NCY54,8.43,Non-Edible,0.17869996100000002,Household,173.9422,OUT017,2007,Small,Tier 2,Supermarket Type1,0.884525766574324,Non-Consumable,6
NCL19,15.35,Non-Edible,0.015740089,Others,144.847,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.561199109672614,Non-Consumable,4
FDP23,6.71,Low Fat,0.059565107,Breads,217.2166,OUT010,1998,Small,Tier 3,Grocery Store,1.3011714830051146,Food,15
FDC26,10.195,Low Fat,0.126277921,Canned,112.1886,OUT013,1987,High,Tier 3,Supermarket Type1,0.9986660672541771,Food,26
FDR14,11.65,Low Fat,0.291322397,Dairy,55.8298,OUT010,1998,Small,Tier 3,Grocery Store,1.4730837243738737,Food,15
NCS41,12.85,Non-Edible,0.053433907999999995,Health and Hygiene,183.2608,OUT035,2004,Small,Tier 2,Supermarket Type1,0.8087962206545212,Non-Consumable,9
FDF41,12.15,Low Fat,0.131155007,Frozen Foods,248.146,OUT035,2004,Small,Tier 2,Supermarket Type1,0.7373719877945841,Food,9
FDU34,18.25,Low Fat,0.07519492900000001,Snack Foods,124.9046,OUT046,1997,Small,Tier 1,Supermarket Type1,1.0,Food,16
DRH11,5.98,Low Fat,0.075557965,Hard Drinks,57.0614,OUT046,1997,Small,Tier 1,Supermarket Type1,0.8070800494041146,Drinks,16
FDM03,12.65,Low Fat,0.122928415,Meat,106.6938,OUT013,1987,High,Tier 3,Supermarket Type1,0.9982525658438534,Food,26
FDS31,13.1,Regular,0.044442342,Fruits and Vegetables,181.0318,OUT017,2007,Small,Tier 2,Supermarket Type1,1.002914776211384,Food,6
FDJ20,20.7,Regular,0.100741569,Fruits and Vegetables,122.3388,OUT017,2007,Small,Tier 2,Supermarket Type1,0.874256421520815,Food,6
FDV44,8.365,Regular,0.039651481,Fruits and Vegetables,188.7188,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.99554022171221,Food,28
FDG02,7.855,Low Fat,0.011278673000000001,Canned,188.8188,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.0009137962737487,Food,14
FDA09,13.35,Regular,0.06568385968808309,Snack Foods,179.666,OUT013,1987,High,Tier 3,Supermarket Type1,0.4281156020539217,Food,26
FDT04,17.25,Low Fat,0.10695266099999999,Frozen Foods,38.3822,OUT013,1987,High,Tier 3,Supermarket Type1,0.8693328112513455,Food,26
FDL58,12.675975975975975,Regular,0.129825457,Snack Foods,263.2568,OUT019,1985,Small,Tier 1,Grocery Store,1.2752023482146084,Food,28
FDE52,10.395,Regular,0.029947408999999998,Dairy,90.1514,OUT045,2002,Small,Tier 2,Supermarket Type1,0.8547671571905862,Food,11
FDW12,8.315,Regular,0.035565457,Baking Goods,144.8444,OUT035,2004,Small,Tier 2,Supermarket Type1,0.6524510214502403,Food,9
FDL51,20.7,Regular,0.047760002,Dairy,214.9876,OUT017,2007,Small,Tier 2,Supermarket Type1,0.8041638421123816,Food,6
NCY42,6.38,Non-Edible,0.015089146999999999,Household,141.347,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.8645169545827471,Non-Consumable,28
FDR07,21.35,Low Fat,0.07818366,Fruits and Vegetables,96.8094,OUT017,2007,Small,Tier 2,Supermarket Type1,1.00428088835957,Food,6
FDN40,5.88,Low Fat,0.086632125,Frozen Foods,152.6998,OUT045,2002,Small,Tier 2,Supermarket Type1,1.0013236438758857,Food,11
FDB35,12.300000000000002,Regular,0.064306056,Starchy Foods,90.3804,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.8523252098308561,Food,28
FDA22,7.435,Low Fat,0.08493006,Starchy Foods,165.8158,OUT017,2007,Small,Tier 2,Supermarket Type1,0.9024364028370612,Food,6
NCL06,14.65,Non-Edible,0.072066634,Household,262.5594,OUT046,1997,Small,Tier 1,Supermarket Type1,0.9993560529408047,Non-Consumable,16
FDI35,14.0,Low Fat,0.041256807,Starchy Foods,181.2634,OUT013,1987,High,Tier 3,Supermarket Type1,0.9979536400096927,Food,26
NCW42,18.2,Non-Edible,0.058587558,Household,221.6456,OUT045,2002,Small,Tier 2,Supermarket Type1,0.9774055827472049,Non-Consumable,11
NCX06,17.6,Non-Edible,0.015711434,Household,180.0976,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.8822162195567586,Non-Consumable,14
FDC37,15.5,Low Fat,0.032714163,Baking Goods,108.1938,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9069829888246522,Food,28
FDZ14,7.71,Regular,0.047782552,Dairy,122.3756,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.8915184784747956,Food,4
DRG49,7.81,Low Fat,0.067560171,Soft Drinks,245.2486,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.8707044938061274,Drinks,14
NCG06,16.35,Non-Edible,0.029505077,Household,256.2646,OUT045,2002,Small,Tier 2,Supermarket Type1,0.9997660441742958,Non-Consumable,11
DRC36,13.0,Regular,0.045076104000000006,Soft Drinks,173.7054,OUT045,2002,Small,Tier 2,Supermarket Type1,0.7789006724674485,Drinks,11
FDV21,11.5,Low Fat,0.29954415300000004,Snack Foods,124.8704,OUT019,1985,Small,Tier 1,Grocery Store,1.7100553661934452,Food,28
FDB53,13.35,Low Fat,0.139452413,Frozen Foods,148.6392,OUT046,1997,Small,Tier 1,Supermarket Type1,0.9476311870117976,Food,16
DRP47,15.75,Low Fat,0.24617825699999998,Hard Drinks,252.4382,OUT019,1985,Small,Tier 1,Grocery Store,1.5240243973482774,Drinks,28
FDA14,16.1,Low Fat,0.065128984,Dairy,145.17600000000002,OUT013,1987,High,Tier 3,Supermarket Type1,0.997588144875505,Food,26
DRC24,17.85,Low Fat,0.024816585,Soft Drinks,152.6998,OUT035,2004,Small,Tier 2,Supermarket Type1,0.903219366743825,Drinks,9
FDW21,5.34,Regular,0.005988175,Snack Foods,100.6358,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.2864430359920179,Food,4
NCH29,5.51,Non-Edible,0.034473804,Health and Hygiene,97.3726,OUT046,1997,Small,Tier 1,Supermarket Type1,0.842533958382022,Non-Consumable,16
FDU58,6.61,Regular,0.028987582,Snack Foods,188.6898,OUT013,1987,High,Tier 3,Supermarket Type1,0.9975769402160585,Food,26
FDY27,6.38,Low Fat,0.032078604,Dairy,177.6344,OUT017,2007,Small,Tier 2,Supermarket Type1,0.7422475276121275,Food,6
FDV56,16.1,Regular,0.013593151000000001,Fruits and Vegetables,108.9596,OUT035,2004,Small,Tier 2,Supermarket Type1,0.8973767486125519,Food,9
FDT59,13.65,Low Fat,0.015911432,Breads,230.5668,OUT046,1997,Small,Tier 1,Supermarket Type1,0.7374857219148295,Food,16
FDB23,19.2,Regular,0.0055886009999999995,Starchy Foods,225.5062,OUT046,1997,Small,Tier 1,Supermarket Type1,0.8555855225788168,Food,16
FDR49,8.71,Low Fat,0.139510771,Canned,46.2376,OUT045,2002,Small,Tier 2,Supermarket Type1,1.0009278530548744,Food,11
FDB03,17.75,Regular,0.262504325,Dairy,242.2538,OUT010,1998,Small,Tier 3,Grocery Store,1.3020559789829704,Food,15
FDN39,19.35,Regular,0.06568385968808309,Meat,165.7816,OUT045,2002,Small,Tier 2,Supermarket Type1,0.9994753807589288,Food,11
FDX02,16.0,Low Fat,0.056783774,Dairy,223.1404,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9940648269342118,Food,28
FDQ16,19.7,Low Fat,0.041536279,Frozen Foods,107.7912,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.8380093435215062,Food,28
FDU35,6.44,Low Fat,0.079538056,Breads,99.47,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0020167459357627,Food,4
NCT29,12.6,Non-Edible,0.064057374,Health and Hygiene,122.1414,OUT013,1987,High,Tier 3,Supermarket Type1,0.9980183514602834,Non-Consumable,26
FDZ27,7.935,Low Fat,0.017156262,Dairy,48.135,OUT046,1997,Small,Tier 1,Supermarket Type1,1.0002395763412262,Food,16
FDN57,18.25,Low Fat,0.054540967999999995,Snack Foods,140.4154,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0032364838884946,Food,6
FDA03,18.5,Regular,0.045648972999999995,Dairy,145.6102,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0001536305593879,Food,4
FDZ36,6.035,Regular,0.065917194,Baking Goods,185.72400000000002,OUT045,2002,Small,Tier 2,Supermarket Type1,0.7795784733978105,Food,11
NCU05,11.8,Non-Edible,0.058687359,Health and Hygiene,81.1618,OUT013,1987,High,Tier 3,Supermarket Type1,0.99756366392233,Non-Consumable,26
FDT39,6.26,Regular,0.009908113,Meat,151.1366,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.873218385567349,Food,4
FDK60,16.5,Regular,0.094395215,Baking Goods,97.2068,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0051513877982967,Food,6
FDZ25,15.7,Regular,0.02777326,Canned,169.27900000000002,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0033079869354795,Food,6
FDG12,6.635,Regular,0.006326106,Baking Goods,122.1098,OUT046,1997,Small,Tier 1,Supermarket Type1,1.0003405043406923,Food,16
DRB01,7.39,Low Fat,0.143990546,Soft Drinks,191.553,OUT019,1985,Small,Tier 1,Grocery Store,1.5747247418410673,Drinks,28
NCC43,7.39,Non-Edible,0.09233359,Household,250.6066,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.8933216705159462,Non-Consumable,28
FDX13,7.725,Low Fat,0.083661793,Canned,248.6092,OUT019,1985,Small,Tier 1,Grocery Store,1.2872799592449202,Food,28
FDM22,14.0,Regular,0.042022999000000005,Snack Foods,53.06399999999999,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.8285776416664528,Food,14
FDJ03,12.35,Regular,0.072044336,Dairy,48.8692,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9947238488183097,Food,28
FDU14,17.75,Low Fat,0.06568385968808309,Dairy,249.775,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.5440177019051224,Food,4
FDB33,17.75,Low Fat,0.024404214,Fruits and Vegetables,159.0262,OUT010,1998,Small,Tier 3,Grocery Store,1.4327290051547323,Food,15
FDP27,8.155,Low Fat,0.119450639,Meat,190.653,OUT046,1997,Small,Tier 1,Supermarket Type1,0.9976020486524702,Food,16
FDO38,17.25,Low Fat,0.121917641,Canned,76.6986,OUT010,1998,Small,Tier 3,Grocery Store,1.4328063713403094,Food,15
FDE28,9.5,Regular,0.131905128,Frozen Foods,232.0668,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9937829592087362,Food,28
FDO27,6.175,Regular,0.179043614,Meat,95.3752,OUT035,2004,Small,Tier 2,Supermarket Type1,0.777542460606837,Food,9
DRL23,18.35,Low Fat,0.015230200000000003,Hard Drinks,107.0938,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.864488579869846,Drinks,28
FDS28,8.18,Regular,0.082401592,Frozen Foods,55.9588,OUT046,1997,Small,Tier 1,Supermarket Type1,0.7270424748668853,Food,16
FDX24,8.355,Low Fat,0.013917468,Baking Goods,92.5462,OUT013,1987,High,Tier 3,Supermarket Type1,0.3811221981799612,Food,26
FDZ02,6.905,Regular,0.038140213,Dairy,96.3726,OUT035,2004,Small,Tier 2,Supermarket Type1,0.9988905253421406,Food,9
FDL46,20.35,Low Fat,0.054166556,Snack Foods,116.9466,OUT045,2002,Small,Tier 2,Supermarket Type1,0.7575843897180166,Food,11
FDS60,20.85,Low Fat,0.03229139,Baking Goods,178.766,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.8512597485756102,Food,28
NCO06,19.25,Non-Edible,0.108641498,Household,33.0558,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0025687763709759,Non-Consumable,6
FDO16,5.48,Low Fat,0.015105338000000001,Frozen Foods,84.625,OUT035,2004,Small,Tier 2,Supermarket Type1,0.9998627660314735,Food,9
FDC60,5.425,Regular,0.114650377,Baking Goods,87.3514,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.0012556044585097,Food,14
FDA48,12.1,Low Fat,0.11534200900000001,Baking Goods,220.2114,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0031672318443776,Food,4
FDZ36,6.035,Regular,0.06568385968808309,Baking Goods,186.424,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.776818914083506,Food,28
FDK27,11.0,Low Fat,0.00896468,Meat,120.6756,OUT045,2002,Small,Tier 2,Supermarket Type1,1.0007097590572696,Food,11
FDW23,5.765,Low Fat,0.082346376,Baking Goods,38.8164,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0024404503776652,Food,4
FDM14,13.8,Low Fat,0.013318,Canned,110.1254,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0015735338397616,Food,4
FDM14,13.8,Low Fat,0.01325293,Canned,108.2254,OUT013,1987,High,Tier 3,Supermarket Type1,0.9966799770108867,Food,26
FDW60,5.44,Regular,0.017131453,Baking Goods,177.83700000000002,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0018503712204556,Food,4
FDE21,12.8,Low Fat,0.022925594,Fruits and Vegetables,116.4492,OUT013,1987,High,Tier 3,Supermarket Type1,0.8293447376826144,Food,26
NCM42,6.13,Non-Edible,0.028316137,Household,109.3912,OUT035,2004,Small,Tier 2,Supermarket Type1,0.9119945946089948,Non-Consumable,9
FDY59,8.195,Low Fat,0.052562923,Baking Goods,93.9462,OUT010,1998,Small,Tier 3,Grocery Store,1.249356487055315,Food,15
DRI49,14.15,Low Fat,0.18379260000000003,Soft Drinks,81.3276,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.001170178376366,Drinks,14
FDT28,13.3,Low Fat,0.111296158,Frozen Foods,151.2708,OUT019,1985,Small,Tier 1,Grocery Store,1.4006586502710143,Food,28
FDQ22,16.75,Low Fat,0.029860799,Snack Foods,39.5822,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.00232777515719,Food,4
FDR60,14.3,Low Fat,0.130617879,Baking Goods,76.5328,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.9997637788181976,Food,14
FDC50,15.85,Low Fat,0.238990225,Canned,94.7094,OUT019,1985,Small,Tier 1,Grocery Store,1.4001017913681846,Food,28
FDV24,5.635,Low Fat,0.103186396,Baking Goods,151.805,OUT013,1987,High,Tier 3,Supermarket Type1,1.0776167330244646,Food,26
DRF48,5.73,Low Fat,0.06568385968808309,Soft Drinks,188.3898,OUT010,1998,Small,Tier 3,Grocery Store,1.187619341725041,Drinks,15
FDQ47,7.155,Regular,0.16818637600000003,Breads,36.5874,OUT046,1997,Small,Tier 1,Supermarket Type1,0.8700568476530782,Food,16
DRN36,15.2,Low Fat,0.050255855,Soft Drinks,97.3752,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.9989443431989576,Drinks,14
NCY06,15.25,Non-Edible,0.061173235,Household,128.5968,OUT035,2004,Small,Tier 2,Supermarket Type1,0.8555760892359929,Non-Consumable,9
FDE52,10.395,Regular,0.029881147,Dairy,89.5514,OUT035,2004,Small,Tier 2,Supermarket Type1,0.8528758890221192,Food,9
NCB54,8.76,Non-Edible,0.05015421900000001,Health and Hygiene,126.9336,OUT045,2002,Small,Tier 2,Supermarket Type1,0.8716520198750254,Non-Consumable,11
NCF31,9.13,Non-Edible,0.05183762099999999,Household,152.6024,OUT035,2004,Small,Tier 2,Supermarket Type1,0.9996027373788303,Non-Consumable,9
FDJ08,11.1,Low Fat,0.11013617,Fruits and Vegetables,189.7846,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9966184534517697,Food,28
NCC07,19.6,Non-Edible,0.024086626,Household,106.0964,OUT017,2007,Small,Tier 2,Supermarket Type1,0.7402157766948799,Non-Consumable,6
NCD19,8.93,Non-Edible,0.013115567,Household,53.7614,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9954753811200397,Non-Consumable,28
FDL46,20.35,Low Fat,0.06568385968808309,Snack Foods,118.9466,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.9186677247141254,Food,14
FDM20,10.0,Low Fat,0.038764257999999996,Fruits and Vegetables,246.2144,OUT045,2002,Small,Tier 2,Supermarket Type1,0.7794171966205204,Food,11
NCI06,11.3,Non-Edible,0.07986963,Household,180.46599999999998,OUT010,1998,Small,Tier 3,Grocery Store,1.474860036482153,Non-Consumable,15
DRM11,6.57,Low Fat,0.066057085,Hard Drinks,259.3278,OUT035,2004,Small,Tier 2,Supermarket Type1,0.8310505831641408,Drinks,9
NCH07,13.15,Non-Edible,0.093044518,Household,158.4604,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0043310067341529,Non-Consumable,4
FDS23,4.635,Low Fat,0.140771867,Breads,129.4994,OUT013,1987,High,Tier 3,Supermarket Type1,0.9997013813147019,Food,26
FDO49,10.6,Regular,0.033186809,Breakfast,49.1008,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.8372879727565168,Food,4
FDS35,9.3,Low Fat,0.11139344,Breads,65.2826,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.0008713169781658,Food,14
DRK39,7.02,Low Fat,0.049966527000000004,Dairy,82.525,OUT045,2002,Small,Tier 2,Supermarket Type1,0.8020844514865288,Drinks,11
DRI39,13.8,Low Fat,0.09721299800000001,Dairy,58.293,OUT049,1999,Medium,Tier 1,Supermarket Type1,1.0008664882912168,Drinks,14
FDV04,7.825,Regular,0.150863781,Frozen Foods,158.0288,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0007875813798657,Food,6
NCN14,19.1,Non-Edible,0.09190040599999999,Others,182.5608,OUT035,2004,Small,Tier 2,Supermarket Type1,1.0749192616249794,Non-Consumable,9
FDH08,7.51,Low Fat,0.017414576,Fruits and Vegetables,231.101,OUT013,1987,High,Tier 3,Supermarket Type1,0.8966138013479001,Food,26
FDS20,8.85,Low Fat,0.053866912,Fruits and Vegetables,183.0292,OUT046,1997,Small,Tier 1,Supermarket Type1,1.000239564331054,Food,16
FDV40,17.35,Low Fat,0.014714625,Frozen Foods,75.4038,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.4915478067629572,Food,14
FDZ48,17.75,Low Fat,0.127140836,Baking Goods,110.5544,OUT010,1998,Small,Tier 3,Grocery Store,1.4770383458680172,Food,15
FDS24,20.85,Regular,0.061923154,Baking Goods,87.5514,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.7957684426810169,Food,28
FDK44,16.6,Low Fat,0.122417514,Fruits and Vegetables,174.3738,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.8424094628932962,Food,14
FDS48,15.15,Low Fat,0.06568385968808309,Baking Goods,150.4708,OUT045,2002,Small,Tier 2,Supermarket Type1,1.4035273712775227,Food,11
FDK26,5.46,Regular,0.053858378,Canned,186.924,OUT010,1998,Small,Tier 3,Grocery Store,1.0651465665984834,Food,15
FDD23,9.5,Regular,0.048784266,Starchy Foods,188.5898,OUT045,2002,Small,Tier 2,Supermarket Type1,1.0016254396757327,Food,11
NCH54,13.5,Non-Edible,0.073080167,Household,161.49200000000002,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0025687770944232,Non-Consumable,6
NCP14,8.275,Non-Edible,0.184602443,Household,106.5306,OUT010,1998,Small,Tier 3,Grocery Store,1.505133241576954,Non-Consumable,15
FDM60,10.8,Regular,0.080582001,Baking Goods,39.4138,OUT010,1998,Small,Tier 3,Grocery Store,1.3032412081662683,Food,15
FDV24,5.635,Low Fat,0.103856487,Baking Goods,151.305,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0846147608870627,Food,6
FDH08,7.51,Low Fat,0.017500078999999998,Fruits and Vegetables,228.801,OUT018,2009,Medium,Tier 3,Supermarket Type2,0.9010160428872087,Food,4
FDS12,9.1,Low Fat,0.173275373,Baking Goods,127.6362,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.995470977303618,Food,28
FDR39,20.35,Low Fat,0.08339348099999999,Meat,180.6292,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9951101286524765,Food,28
FDP12,9.8,Regular,0.0450476,Baking Goods,36.4874,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.995688875849733,Food,28
DRF60,10.800000000000002,Low Fat,0.051816577,Soft Drinks,236.4564,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9966184475605584,Drinks,28
FDC09,15.5,Regular,0.026297031000000002,Fruits and Vegetables,102.7332,OUT035,2004,Small,Tier 2,Supermarket Type1,1.0014906249576714,Food,9
FDF50,4.905,Low Fat,0.117808305,Canned,198.5768,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.2160160520940717,Food,4
FDG28,9.285,Regular,0.049270974,Frozen Foods,243.9144,OUT035,2004,Small,Tier 2,Supermarket Type1,0.9541929732731429,Food,9
NCE19,8.97,Non-Edible,0.093540749,Household,55.4956,OUT017,2007,Small,Tier 2,Supermarket Type1,0.8190440530708161,Non-Consumable,6
NCM53,18.75,Non-Edible,0.08710582300000001,Health and Hygiene,108.228,OUT010,1998,Small,Tier 3,Grocery Store,1.4342927697487338,Non-Consumable,15
NCN18,8.895,Non-Edible,0.06568385968808309,Household,110.9544,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.6239390465701566,Non-Consumable,14
