Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Visibility_MeanRatio,Item_Type_Combined,Outlet_Years,Avg_sales_product
NCL17,7.39,Non-Edible,0.067779712,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864,0.9976204487568417,Non-Consumable,16,
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924,1.2424715058253268,Food,26,
FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444,0.9975729965176114,Food,26,
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,Small,Tier 2,Supermarket Type1,3121.2704,0.8855960961324091,Food,6,
NCP18,12.15,Non-Edible,0.028760012999999997,Household,151.4708,OUT017,2007,Small,Tier 2,Supermarket Type1,4815.0656,1.0044681048166684,Non-Consumable,6,
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52,0.9151200106675108,Food,4,
NCX54,9.195,Non-Edible,0.048157338,Household,106.1622,OUT045,2002,Small,Tier 2,Supermarket Type1,2117.244,0.9135444048667141,Non-Consumable,11,
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626,0.84977679669688,Drinks,14,
FDY21,15.1,Low Fat,0.17348130399999998,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275,1.0888816576091855,Food,16,
FDI26,5.94,Low Fat,0.061082177,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172,1.5795664691579507,Food,28,
FDM20,10.0,Low Fat,0.06611236082486209,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872,1.3303958610808835,Food,4,
FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,2002,Small,Tier 2,Supermarket Type1,1062.6168,0.7997977402469445,Food,11,
FDF09,6.215,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type2,484.7024,0.9948602766106077,Food,28,
FDY40,15.5,Regular,0.15028599,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,1.4132152321083333,Food,28,
FDY45,17.5,Low Fat,0.026015518999999997,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type2,2543.356,0.7921724576684755,Food,28,
FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,1998,Small,Tier 3,Grocery Store,184.4266,1.526559956581351,Food,15,
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664,0.9025033636908053,Food,9,
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,2002,Small,Tier 2,Supermarket Type1,1118.5439999999999,0.9082084534750812,Food,11,
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,2002,Small,Tier 2,Supermarket Type1,2302.3364,0.8894938822861083,Drinks,11,
NCI17,8.645,Non-Edible,0.14342264300000002,Health and Hygiene,95.84100000000001,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361,0.9989871435433431,Non-Consumable,16,
FDJ58,15.6,Regular,0.10529607199999999,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,0.8484883858774448,Food,16,
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,0.8695966818186086,Food,26,
FDH35,18.25,Low Fat,0.06611236082486209,Starchy Foods,164.7526,OUT045,2002,Small,Tier 2,Supermarket Type1,4604.6728,0.972137380284263,Food,11,
FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,2007,Small,Tier 2,Supermarket Type1,2285.0256,0.8736089180195864,Food,6,
NCZ18,7.825,Non-Edible,0.186357148,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356,0.9855533857838015,Non-Consumable,14,
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.3520000000003,0.9992261936164709,Food,16,
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954,0.9043192954878387,Food,14,
FDN48,13.35,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628,1.5219827105910262,Food,28,
FDL04,19.0,Low Fat,0.11255650699999999,Frozen Foods,104.9622,OUT017,2007,Small,Tier 2,Supermarket Type1,1587.933,1.0054306358168557,Food,6,
FDV25,5.905,Low Fat,0.06611236082486209,Canned,222.5456,OUT045,2002,Small,Tier 2,Supermarket Type1,5305.0944,1.1671587607094438,Food,11,
FDD58,7.76,Low Fat,0.05935224099999999,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79,0.8881058706122893,Food,16,
FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752,0.654253835372242,Food,16,
FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89,0.9065714951294783,Food,4,
NCL18,18.849999999999998,Non-Edible,0.293417759,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408,1.5791630222747792,Non-Consumable,28,
FDR12,12.6,Regular,0.031382044,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type2,3091.9752,0.8836739937983247,Food,28,
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,Small,Tier 2,Supermarket Type1,2479.4392,0.8843963035953681,Food,6,
FDZ55,6.055,Low Fat,0.025403897999999998,Fruits and Vegetables,160.99200000000002,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.4640000000004,0.9986913188770222,Food,9,
FDQ49,20.2,Regular,0.039057677,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type2,3285.723,0.8652260114281753,Food,28,
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052,1.0010310559959184,Food,16,
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504,0.8583020334065447,Food,14,
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.17299999999999,OUT010,1998,Small,Tier 3,Grocery Store,369.519,1.4342927846122457,Food,15,
DRG27,8.895,Low Fat,0.10527411099999999,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,0.93021952302764,Drinks,14,
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,2002,Small,Tier 2,Supermarket Type1,1381.535,0.9136209138602582,Drinks,11,
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523,0.921352677093045,Food,9,
NCR17,9.8,Non-Edible,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412,0.9988296793150883,Non-Consumable,9,
FDU04,7.93,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656,0.317379640465395,Food,28,
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73,1.0001428335821854,Food,14,
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,1.0153992165732881,Food,9,
NCP18,12.15,Non-Edible,0.028459761,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type2,4363.6532,0.9939815463645768,Non-Consumable,28,
FDB56,8.75,Regular,0.07462720099999999,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892,1.0155912512195553,Food,16,
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,2002,Small,Tier 2,Supermarket Type1,1805.6496,1.000657479038771,Food,11,
FDD10,20.599999999999998,Regular,0.045797829000000005,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type2,2854.9504,0.8582687915269366,Food,28,
FDW57,8.31,Regular,0.11585722300000001,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616,1.0922469622584692,Food,14,
DRB48,16.75,Regular,0.024832806000000002,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974,0.7492239392950798,Drinks,26,
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853,0.8728846682169278,Food,4,
FDH14,17.1,Regular,0.046769599999999995,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408,0.8293743935342625,Food,26,
FDA47,10.5,Regular,0.11657670199999999,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.3310000000001,1.0761679990089117,Food,26,
FDG12,6.635,Regular,0.06611236082486209,Baking Goods,121.3098,OUT045,2002,Small,Tier 2,Supermarket Type1,2530.7058,2.51744883252497,Food,11,
DRE60,9.395,Low Fat,0.278974075,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,679.1160000000001,1.554236934407836,Drinks,28,
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.2760000000001,0.8920370468590902,Drinks,26,
FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09,0.9982612829610846,Food,16,
FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,2007,Small,Tier 2,Supermarket Type1,2732.4432,0.8530289760479388,Food,6,
FDW39,6.69,Regular,0.064625342,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437,1.3930680940833695,Food,28,
FDX34,6.195,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type2,4097.3332,0.99472231242595,Food,28,
FDV11,9.1,Regular,0.06611236082486209,Breads,173.2054,OUT045,2002,Small,Tier 2,Supermarket Type1,3151.8972,0.7220371460099422,Food,11,
FDD17,7.5,Low Fat,0.032677677999999995,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265,0.805060850964161,Food,14,
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,2007,Small,Tier 2,Supermarket Type1,4843.695,0.8127109130444516,Food,6,
FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244,0.997045204761887,Food,9,
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,2007,Small,Tier 2,Supermarket Type1,2552.6772,0.7626363431408102,Drinks,6,
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847,1.000310840835566,Food,4,
NCF19,13.0,Non-Edible,0.035307322,Household,47.5034,OUT017,2007,Small,Tier 2,Supermarket Type1,680.4476,0.8737352885509778,Non-Consumable,6,
DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,2002,Small,Tier 2,Supermarket Type1,2085.9514,0.8994150084567096,Drinks,11,
FDB14,20.25,Regular,0.171938781,Canned,92.512,OUT010,1998,Small,Tier 3,Grocery Store,186.424,1.6009609570043468,Food,15,
FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048,0.9981035677346621,Food,9,
FDW11,12.6,Low Fat,0.049058014000000004,Breads,62.7194,OUT017,2007,Small,Tier 2,Supermarket Type1,866.8716,1.0045293329709675,Food,6,
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.8689999999999,0.5659192114182006,Food,9,
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864,0.9985240537514383,Drinks,16,
FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,2007,Small,Tier 2,Supermarket Type1,928.1252,0.8676004642120854,Food,6,
DRG23,8.88,Low Fat,0.08670898699999999,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341,1.0347105667646626,Drinks,26,
NCP30,20.5,Non-Edible,0.032835147,Household,40.2822,OUT045,2002,Small,Tier 2,Supermarket Type1,707.0796,1.001464650108189,Non-Consumable,11,
FDY25,12.0,Low Fat,0.033809913,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type2,7968.2944,0.9943509837076948,Food,28,
NCH54,13.5,Non-Edible,0.07266912,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,0.8082214567844889,Non-Consumable,16,
NCR53,12.15,Non-Edible,0.144338493,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type2,6976.2524,0.8844523609675827,Non-Consumable,28,
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,1998,Small,Tier 3,Grocery Store,101.2016,1.4197649145980324,Food,15,
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.0939999999999,0.8722339603949565,Food,4,
NCO26,7.235,Non-Edible,0.076855628,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364,0.9986322230840355,Non-Consumable,16,
FDH35,18.25,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type2,5262.4832,0.8816251550761345,Food,28,
FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,2002,Small,Tier 2,Supermarket Type1,1314.2892,1.0002381398116789,Food,11,
FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,2007,Small,Tier 2,Supermarket Type1,535.3032,1.0047486362989948,Food,6,
NCN07,18.5,Non-Edible,0.056816465,Others,132.1284,OUT010,1998,Small,Tier 3,Grocery Store,263.6568,1.5255089605772434,Non-Consumable,15,
NCC31,8.02,Non-Edible,0.019866705,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748,0.5711305444294034,Non-Consumable,9,
NCX54,9.195,Non-Edible,0.048331717,Household,105.1622,OUT017,2007,Small,Tier 2,Supermarket Type1,1693.7952,0.9168523734212936,Non-Consumable,6,
NCO55,12.8,Non-Edible,0.091221855,Others,105.5938,OUT045,2002,Small,Tier 2,Supermarket Type1,2143.876,0.7796761014753127,Non-Consumable,11,
NCC30,16.6,Non-Edible,0.027622076000000002,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.5159999999996,0.882531507217872,Non-Consumable,14,
FDI16,14.0,Regular,0.06611236082486209,Frozen Foods,53.06399999999999,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488,0.4743439791408414,Food,9,
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406,0.8808625329084496,Food,14,
FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312,0.9981703397961053,Food,9,
NCB06,17.6,Non-Edible,0.082316506,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92,0.8811099613784078,Non-Consumable,9,
FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311,0.9997633612623326,Food,9,
NCO26,7.235,Non-Edible,0.076841095,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364,0.9984433869184124,Non-Consumable,9,
DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,2007,Small,Tier 2,Supermarket Type1,1034.6532,1.0023204999570055,Drinks,6,
FDR28,13.85,Regular,0.026001976,Frozen Foods,161.52100000000002,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.3310000000001,1.0018503386019926,Food,4,
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964,0.9067754473476878,Food,4,
DRK12,9.5,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type2,898.83,0.9272562233230616,Drinks,28,
FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208,0.9222899096810624,Food,16,
NCI18,18.35,Non-Edible,0.014081156000000001,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936,1.0026581194547473,Non-Consumable,4,
FDB36,5.465,Regular,0.06611236082486209,Baking Goods,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252,1.2342652863355414,Food,4,
FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,2007,Small,Tier 2,Supermarket Type1,1910.1802,0.8926897979587703,Food,6,
DRD24,13.85,Low Fat,0.030969273999999998,Soft Drinks,140.9154,OUT017,2007,Small,Tier 2,Supermarket Type1,1701.7848,0.9166849265840111,Drinks,6,
FDQ28,14.0,Regular,0.06037677599999999,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496,0.999172399296221,Food,26,
FDM22,14.0,Regular,0.04192285,Snack Foods,54.763999999999996,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6,0.8422898483779423,Food,26,
FDR07,21.35,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type2,1808.9786,0.7339058770268426,Food,28,
FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684,0.8092355026562401,Food,4,
DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914,0.8877922170232116,Drinks,16,
FDW51,6.155,Regular,0.09465987099999999,Meat,214.55599999999998,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728,0.8981717019262059,Food,16,
DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,OUT017,2007,Small,Tier 2,Supermarket Type1,5375.0034,0.8354597455782373,Drinks,6,
FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,2007,Small,Tier 2,Supermarket Type1,2838.9712,0.8675312528078218,Food,6,
FDL50,12.15,Regular,0.042485444000000004,Canned,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0644,1.0014566345080895,Food,4,
NCB30,14.6,Non-Edible,0.025578526,Household,198.8084,OUT027,1985,Medium,Tier 3,Supermarket Type2,5555.4352,0.8270120776541008,Non-Consumable,28,
